Mood,Time
Distracted,19:37:00
Distracted,19:37:00
Distracted,19:37:01
Distracted,19:37:01
Neutral,19:37:01
Distracted,19:37:01
Distracted,19:37:01
Distracted,19:37:01
Distracted,19:37:01
Distracted,19:37:02
Neutral,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:02
Distracted,19:37:03
Distracted,19:37:03
Neutral,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Distracted,19:37:03
Neutral,19:37:03
Distracted,19:37:04
Neutral,19:37:04
Distracted,19:37:04
Neutral,19:37:04
Neutral,19:37:04
Distracted,19:37:04
Distracted,19:37:04
Neutral,19:37:04
Neutral,19:37:05
Neutral,19:37:05
Neutral,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Distracted,19:37:05
Neutral,19:37:06
Distracted,19:37:06
Distracted,19:37:06
Neutral,19:37:06
Neutral,19:37:06
Distracted,19:37:06
Neutral,19:37:06
Distracted,19:37:06
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:07
Distracted,19:37:08
Distracted,19:37:08
Distracted,19:37:08
Neutral,19:37:08
Distracted,19:37:08
Distracted,19:37:08
Neutral,19:37:08
Neutral,19:37:08
Distracted,19:37:08
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:09
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:10
Distracted,19:37:12
Distracted,19:37:12
Distracted,19:37:12
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:13
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:14
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:15
Neutral,19:37:16
Neutral,19:37:16
Neutral,19:37:16
Neutral,19:37:16
Neutral,19:37:16
Distracted,19:37:16
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:17
Neutral,19:37:18
Neutral,19:37:18
Neutral,19:37:18
Neutral,19:37:18
Distracted,19:37:18
Neutral,19:37:19
Neutral,19:37:19
